ms,GPStime,lat,lon,yaw,pitch,roll
13500,234505.00,40.09511566,-88.23981476,27.145039,3.458015,-0.236641
13600,234505.00,40.09515381,-88.23989105,29.541985,0.106870,-2.908397
13700,234505.00,40.09515381,-88.23989105,31.160305,3.343511,-3.152672
13800,234505.00,40.09515381,-88.23989105,33.740459,2.595420,-2.450382
13900,234505.00,40.09515381,-88.23989105,35.396946,2.946565,-2.816794
14000,234505.00,40.09515381,-88.23989105,37.022900,2.992366,-0.419847
14100,234505.00,40.09515381,-88.23989105,37.725189,1.824427,-0.954198
14200,234505.00,40.09515381,-88.23989105,37.931297,2.473282,-1.564885
14300,234505.00,40.09515381,-88.23989105,37.412212,1.450382,-0.213740
14400,234506.00,40.09515381,-88.23989105,37.045803,3.435115,-0.954198
14500,234506.00,40.09515381,-88.23989105,38.129772,1.732824,-2.114504
14600,234506.00,40.09516907,-88.23997498,37.977100,1.381679,-1.106870
14700,234506.00,40.09516907,-88.23997498,38.274811,2.961832,0.190840
14800,234506.00,40.09516907,-88.23997498,38.007633,7.961832,-2.442748
14900,234506.00,40.09516907,-88.23997498,40.137405,-0.106870,0.068702
15000,234506.00,40.09516907,-88.23997498,40.343510,1.770992,3.099237
15100,234506.00,40.09516907,-88.23997498,39.977100,-1.091603,-3.503817
15200,234506.00,40.09516907,-88.23997498,38.045803,2.068702,-6.145038
15300,234506.00,40.09516907,-88.23997498,40.725189,6.923664,2.038168
15400,234507.00,40.09516907,-88.23997498,40.229008,4.557252,0.671756
15500,234507.00,40.09516907,-88.24005890,41.824429,1.290076,-4.236641
15600,234507.00,40.09516907,-88.24005890,42.786259,4.106870,-5.603054
15700,234507.00,40.09516907,-88.24005890,43.022900,2.740458,-0.389313
15800,234507.00,40.09516907,-88.24005890,42.251907,8.793893,2.603053
15900,234507.00,40.09516907,-88.24005890,41.984734,4.984733,-2.244275
16000,234507.00,40.09516907,-88.24005890,42.229008,1.206107,-1.923664
16100,234507.00,40.09516907,-88.24005890,41.038166,3.419847,-3.167939
16200,234507.00,40.09516907,-88.24005890,41.717556,3.595420,-1.236641
16300,234507.00,40.09516907,-88.24005890,41.755726,5.061069,-1.496183
16400,234508.00,40.09516907,-88.24005890,41.274811,2.053435,-0.641221
16500,234508.00,40.09514236,-88.24011993,40.946564,2.045802,-0.022901
16600,234508.00,40.09514236,-88.24011993,40.503819,0.625954,-0.213740
16700,234508.00,40.09514236,-88.24011993,39.969467,5.557252,-1.091603
16800,234508.00,40.09514236,-88.24011993,40.549618,1.419847,1.419847
16900,234508.00,40.09514236,-88.24011993,39.442749,-0.977099,0.114504
17000,234508.00,40.09514236,-88.24011993,39.122139,4.343512,-0.374046
